timestamp,quantity,price,fee,amount,side
2018-07-01 10:32:27,1.28562629,7085000,0,-9108662,0
2018-07-01 10:32:27,1.95207371,7085000,0,-13830442,0
2018-07-01 10:36:16,0.029,7080000,0,205320,1
2018-07-01 10:36:21,0.983,7079000,0,6958657,1
2018-07-01 10:36:21,0.0637,7079000,0,450932,1
2018-07-01 10:36:25,0.08,7076000,0,566080,1
2018-07-01 10:36:25,0.0767,7076000,0,542729,1
2018-07-01 10:36:25,0.0217,7076000,0,153549,1
2018-07-01 10:36:29,0.021,7078000,0,148638,1
2018-07-01 10:39:57,0.2059,7076000,0,1456948,1
2018-07-01 10:40:03,0.0175,7075000,0,123813,1
2018-07-01 10:40:03,0.0908,7075000,0,642410,1
2018-07-01 10:40:12,0.0655,7072000,0,463216,1
2018-07-01 10:41:17,0.4314,7080000,0,-3054312,0
2018-07-01 10:41:17,1.7335,7080000,0,-12273180,0
2018-07-01 10:53:04,0.08,7092000,0,567360,1
2018-07-01 11:00:10,0.0202,7089000,0,143198,1
2018-07-01 11:06:11,0.6988,7083000,0,4949600,1
2018-07-01 11:10:58,0.3908,7090000,0,2770772,1
2018-07-01 11:10:59,0.3529,7090000,0,2502061,1
2018-07-01 11:10:59,0.0692,7090000,0,490628,1
2018-07-01 11:10:59,0.14,7090000,0,992600,1
2018-07-01 11:10:59,0.02,7090000,0,141800,1
2018-07-01 11:19:30,0.021,7080000,0,148680,1
2018-07-01 11:20:27,0.63,7083000,0,4462290,1
2018-07-01 11:20:31,0.0453,7081000,0,320769,1
2018-07-01 11:20:31,0.0453,7081000,0,320769,1
2018-07-01 11:24:53,5.87e-05,7077000,0,-415,0
2018-07-01 11:26:33,0.0152,7073000,0,-107510,0
2018-07-01 11:26:37,0.0156,7076000,0,-110386,0
2018-07-01 11:26:54,0.0028,7079000,0,-19821,0
2018-07-01 11:27:26,0.035,7076000,0,-247660,0
2018-07-01 11:29:24,0.5,7068000,0,-3534000,0
2018-07-01 11:29:54,2.0353,7065000,0,-14379395,0
2018-07-01 11:35:05,0.076,7071000,0,537396,1
2018-07-01 12:00:34,1.091,7058000,0,7700278,1
2018-07-01 12:10:50,0.2219,7068000,0,1568389,1
2018-07-01 12:10:51,0.021,7068000,0,148428,1
2018-07-01 12:12:37,0.0551,7063000,0,389171,1
2018-07-01 12:12:41,0.0326,7063000,0,230254,1
2018-07-01 12:15:36,0.021,7077000,0,148617,1
2018-07-01 12:15:42,0.1286,7077000,0,910102,1
2018-07-01 12:15:43,0.0159,7077000,0,112524,1
2018-07-01 12:31:25,0.1748,7084000,0,1238283,1
2018-07-01 12:52:25,0.0235,7085000,0,166498,1
2018-07-01 12:52:25,0.0647,7085000,0,458400,1
2018-07-01 12:53:23,0.1128,7084000,0,799075,1
2018-07-01 12:53:23,0.1135,7084000,0,804034,1
2018-07-01 12:53:23,0.3672,7084000,0,2601245,1
2018-07-01 12:58:39,0.08,7080000,0,566400,1
2018-07-01 12:58:39,0.1996,7080000,0,1413168,1
2018-07-01 12:58:39,0.08,7080000,0,566400,1
2018-07-01 12:58:39,0.08,7080000,0,566400,1
2018-07-01 12:58:45,0.3,7078000,0,2123400,1
2018-07-01 12:58:45,0.1064,7078000,0,753099,1
